,Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date,Runtime,Color Palette,GenreNames,LanguageName,Month
2,2023-07-25,Spider-Man: Across the Spider-Verse,2023.0,https://boxd.it/4zYcj7,5.0,"in theaters, ella, richland",2023-07-24,140,"[233, 169, 113, 156, 71, 87, 58, 14, 36]","['Animation', 'Action', 'Adventure', 'Science Fiction']",English,2023-07
3,2023-07-25,Tusk,2014.0,https://boxd.it/4zYweV,2.5,nyc,2023-07-24,102,"[200, 92, 87, 152, 35, 31, 49, 18, 15]","['Comedy', 'Horror']",English,2023-07
4,2023-07-25,Nope,2022.0,https://boxd.it/4zYV47,4.5,,2023-07-24,130,"[33, 68, 122, 9, 30, 61, 4, 11, 19]","['Horror', 'Science Fiction']",English,2023-07
5,2023-07-29,X,2022.0,https://boxd.it/4BqNTL,4.5,"nyc, alone</3",2023-07-27,106,"[158, 100, 79, 92, 43, 31, 30, 16, 13]","['Horror', 'Thriller']",English,2023-07
6,2023-08-04,Talk to Me,2022.0,https://boxd.it/4DG6NF,2.5,"in theaters, nyc",2023-08-03,95,"[28, 35, 37, 8, 13, 16, 7, 12, 15]",['Horror'],English,2023-08
7,2023-08-04,Paddington,2014.0,https://boxd.it/4DGf6F,3.5,"scropps, golda",2023-08-03,95,"[155, 174, 189, 86, 115, 171, 51, 46, 66]","['Comedy', 'Adventure', 'Family']",English,2023-08
8,2023-08-04,Shrek,2001.0,https://boxd.it/4DGiF9,2.0,seb,2023-08-03,90,"[203, 219, 119, 96, 183, 76, 59, 100, 45]","['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",English,2023-08
9,2023-08-06,The Super Mario Bros. Movie,2023.0,https://boxd.it/4EsnvJ,2.5,"airplane, alone</3",2023-08-05,93,"[168, 170, 147, 126, 82, 92, 84, 25, 68]","['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']",English,2023-08
10,2023-08-07,Barbie,2023.0,https://boxd.it/4EQxJp,2.5,"in theaters, nyc",2023-08-06,114,"[240, 229, 232, 84, 210, 253, 177, 146, 196]","['Comedy', 'Adventure']",English,2023-08
11,2023-08-11,Bodies Bodies Bodies,2022.0,https://boxd.it/4FZnzh,4.0,"seb, alone</3",2023-08-10,94,"[97, 103, 111, 21, 20, 26, 4, 3, 4]","['Horror', 'Comedy', 'Mystery']",English,2023-08
12,2023-08-18,Mad Max: Fury Road,2015.0,https://boxd.it/4Ip7bX,4.0,"seb, james, james's entire family",2023-08-17,121,"[201, 214, 158, 111, 132, 98, 31, 30, 38]","['Action', 'Adventure', 'Science Fiction']",English,2023-08
13,2023-09-09,Bottoms,2023.0,https://boxd.it/4OT3FD,4.5,"in theaters, scropps, ella",2023-09-08,91,"[245, 245, 245, 237, 239, 238, 129, 108, 104]",['Comedy'],English,2023-09
14,2023-12-21,The Babadook,2014.0,https://boxd.it/5mz5in,4.0,ucla,2023-12-20,94,"[158, 167, 181, 43, 49, 69, 17, 8, 13]","['Drama', 'Horror']",English,2023-12
15,2023-12-26,Ex Machina,2015.0,https://boxd.it/5p0I4L,2.0,"seb, parents",2023-12-25,108,"[159, 104, 105, 25, 20, 21, 5, 4, 4]","['Drama', 'Science Fiction']",English,2023-12
16,2023-12-27,Wonka,2023.0,https://boxd.it/5pDMib,0.5,,2023-12-26,117,"[212, 168, 138, 146, 86, 67, 90, 24, 25]","['Comedy', 'Family', 'Fantasy']",English,2023-12
17,2023-12-28,Saltburn,2023.0,https://boxd.it/5qbQtb,4.0,"seb, bee",2023-12-27,131,"[155, 124, 92, 74, 43, 38, 33, 16, 16]","['Drama', 'Comedy', 'Thriller']",English,2023-12
18,2024-01-07,Past Lives,2023.0,https://boxd.it/5wySxJ,,,2024-01-06,106,"[153, 149, 132, 113, 104, 91, 53, 52, 55]","['Drama', 'Romance']",English,2024-01
19,2024-04-03,Love Songs,2007.0,https://boxd.it/6cvap9,2.0,"scropps, elle",2024-04-02,91,"[254, 215, 59, 107, 101, 100, 11, 4, 7]","['Drama', 'Romance']",French,2024-04
20,2024-04-14,The Rocky Horror Picture Show,1975.0,https://boxd.it/6h5ZHB,4.0,,2024-04-14,100,"[130, 88, 90, 117, 16, 14, 2, 0, 1]","['Comedy', 'Science Fiction', 'Fantasy', 'Horror']",English,2024-04
21,2024-05-23,Challengers,2024.0,https://boxd.it/6wNqDd,3.0,"in theaters, seb, rachel",2024-05-22,132,"[201, 171, 148, 135, 110, 98, 78, 54, 44]","['Drama', 'Romance']",English,2024-05
22,2024-05-27,Furiosa: A Mad Max Saga,2024.0,https://boxd.it/6ydpAD,4.0,"in theaters, james, seb, james's entire family",2024-05-26,149,"[157, 182, 134, 165, 132, 81, 85, 26, 14]","['Action', 'Science Fiction', 'Adventure']",English,2024-05
23,2024-06-09,The Cat Returns,2002.0,https://boxd.it/6DNCal,5.0,"roomies, chi",2024-06-08,75,"[193, 218, 215, 106, 164, 182, 54, 117, 140]","['Adventure', 'Fantasy', 'Animation', 'Drama', 'Family']",Japanese,2024-06
24,2024-06-19,Inside Out 2,2024.0,https://boxd.it/6HH8LP,2.0,"roomies, chi, in theaters",2024-06-18,97,"[188, 194, 180, 121, 105, 123, 75, 31, 46]","['Animation', 'Adventure', 'Comedy', 'Family']",English,2024-06
25,2024-07-02,A Quiet Place,2018.0,https://boxd.it/6MWlZb,2.5,"roomies, chi",2024-07-01,91,"[69, 86, 79, 23, 32, 34, 8, 6, 11]","['Horror', 'Drama', 'Science Fiction']",English,2024-07
26,2024-07-07,MaXXXine,2024.0,https://boxd.it/6P4wmN,4.5,"roomies, chi, in theaters",2024-07-07,103,"[204, 154, 115, 77, 30, 10, 32, 9, 3]","['Horror', 'Thriller']",English,2024-07
27,2024-07-13,The Strangers,2008.0,https://boxd.it/6RIfCn,2.0,"roomies, chi",2024-07-12,86,"[144, 90, 44, 51, 24, 7, 11, 3, 1]","['Horror', 'Thriller']",English,2024-07
28,2024-07-14,Shiva Baby,2020.0,https://boxd.it/6ScE83,4.0,"roomies, chi",2024-07-13,78,"[208, 177, 149, 122, 105, 89, 38, 20, 42]","['Comedy', 'Drama']",English,2024-07
29,2024-07-17,Longlegs,2024.0,https://boxd.it/6TAQ45,3.0,"in theaters, roomies, chi",2024-07-16,101,"[109, 78, 40, 52, 38, 30, 37, 20, 22]","['Crime', 'Horror', 'Thriller']",English,2024-07
30,2024-07-20,Spring Breakers,2012.0,https://boxd.it/6URS9T,3.5,"chi, roomies",2024-07-19,94,"[223, 186, 168, 138, 66, 86, 31, 11, 21]","['Drama', 'Crime']",English,2024-07
31,2024-07-24,Twisters,2024.0,https://boxd.it/6WMXrL,3.0,"in theaters, roomies, chi",2024-07-23,123,"[168, 167, 162, 98, 98, 93, 43, 44, 42]","['Action', 'Thriller']",English,2024-07
32,2024-07-25,Love Lies Bleeding,2024.0,https://boxd.it/6XdLef,4.0,"roomies, chi",2024-07-24,104,"[120, 62, 49, 28, 3, 18, 8, 0, 13]","['Crime', 'Romance', 'Thriller', 'Drama']",English,2024-07
33,2024-07-28,Bottoms,2023.0,https://boxd.it/6YCKal,4.5,"roomies, chi",2024-07-27,91,"[245, 245, 245, 237, 239, 238, 129, 108, 104]",['Comedy'],English,2024-07
34,2024-07-30,Five Nights at Freddy's,2023.0,https://boxd.it/6ZwD5F,2.0,"roomies, chi",2024-07-29,110,"[79, 34, 47, 27, 1, 29, 22, 0, 24]","['Horror', 'Thriller']",English,2024-07
35,2024-08-04,Your Name.,2016.0,https://boxd.it/71p9Ll,3.0,chi,2024-08-03,106,"[181, 211, 222, 42, 174, 227, 31, 95, 138]","['Animation', 'Romance', 'Drama']",Japanese,2024-08
36,2024-08-05,Kneecap,2024.0,https://boxd.it/723pPN,4.5,"seb, in theaters, parents",2024-08-04,105,"[212, 221, 53, 112, 110, 55, 30, 22, 19]","['Music', 'Comedy', 'Drama']",Irish,2024-08
37,2024-08-10,Smiling Friends,2020.0,https://boxd.it/73XG9P,5.0,"chi, roomies",2024-08-09,95,"[251, 251, 192, 132, 215, 240, 161, 151, 162]","['Comedy', 'Romance', 'TV Movie']",English,2024-08
38,2024-08-16,The Battle Wizard,1977.0,https://boxd.it/76U8ch,4.0,"seb, james",2024-08-15,77,"[104, 116, 146, 60, 27, 45, 6, 5, 15]","['Action', 'Fantasy']",Mandarin,2024-08
39,2024-08-18,Alien: Romulus,2024.0,https://boxd.it/77QAGb,3.0,"seb, in theaters, james, james's entire family",2024-08-17,119,"[225, 47, 40, 122, 18, 15, 101, 13, 12]","['Horror', 'Science Fiction']",English,2024-08
40,2024-09-03,In the Mood for Love,2000.0,https://boxd.it/7ff8An,4.0,"daisy, scropps",2024-09-02,98,"[186, 102, 57, 182, 29, 36, 151, 22, 27]","['Drama', 'Romance']",Cantonese,2024-09
41,2024-09-03,Blink Twice,2024.0,https://boxd.it/7ftGAT,2.0,"in theaters, scropps",2024-09-02,102,"[207, 162, 95, 56, 29, 16, 1, 0, 0]","['Mystery', 'Thriller']",English,2024-09
42,2024-09-06,Parasite,2019.0,https://boxd.it/7gGmgf,5.0,"daisy, scropps",2024-09-05,133,"[149, 190, 168, 73, 133, 92, 23, 46, 43]","['Comedy', 'Thriller', 'Drama']",Korean,2024-09
43,2024-09-07,Beetlejuice Beetlejuice,2024.0,https://boxd.it/7h3OXR,2.5,"aimee, scropps, in theaters",2024-09-06,105,"[125, 127, 117, 24, 57, 85, 5, 24, 40]","['Comedy', 'Fantasy', 'Horror']",English,2024-09
44,2024-09-14,The Handmaiden,2016.0,https://boxd.it/7k9hDX,5.0,"scropps, daisy",2024-09-13,145,"[198, 190, 183, 65, 58, 64, 3, 3, 7]","['Thriller', 'Drama', 'Romance']",Korean,2024-09
45,2024-09-16,Pearl,2022.0,https://boxd.it/7li0DN,4.0,scropps,2024-09-16,102,"[167, 144, 127, 171, 41, 33, 72, 12, 12]","['Horror', 'Thriller']",English,2024-09
46,2024-10-02,Beetlejuice,1988.0,https://boxd.it/7sdFxJ,4.0,"scropps, alone</3",2024-10-01,92,"[169, 155, 164, 49, 62, 99, 13, 21, 33]","['Fantasy', 'Comedy']",English,2024-10
47,2024-10-03,Over the Garden Wall,2014.0,https://boxd.it/7sEAqH,5.0,"elle, scropps",2024-10-02,150,"[232, 204, 148, 157, 131, 91, 30, 22, 17]",[],English,2024-10
48,2024-10-10,X,2022.0,https://boxd.it/7vSOWR,4.5,"scropps, emma",2024-10-08,106,"[158, 100, 79, 92, 43, 31, 30, 16, 13]","['Horror', 'Thriller']",English,2024-10
49,2024-10-13,Let It Shine,2012.0,https://boxd.it/7xwjil,4.0,"scropps, emma",2024-10-12,104,"[225, 166, 102, 149, 69, 44, 42, 12, 49]","['Family', 'Music', 'TV Movie']",English,2024-10
50,2024-10-20,The Wild Robot,2024.0,https://boxd.it/7B5dCh,3.0,"scropps, in theaters, emma",2024-10-19,102,"[115, 97, 50, 40, 40, 35, 22, 21, 23]","['Animation', 'Science Fiction', 'Family', 'Drama']",English,2024-10
51,2024-10-25,Fear Street: 1994,2021.0,https://boxd.it/7DDyBP,4.0,"scropps, daisy",2024-10-24,108,"[70, 65, 135, 49, 14, 76, 29, 3, 39]","['Horror', 'Mystery']",English,2024-10
52,2024-10-29,Showgirls,1995.0,https://boxd.it/7FT5S3,4.0,"aimee, paris, scropps, claire",2024-10-29,131,"[126, 91, 84, 53, 12, 20, 55, 10, 18]",['Drama'],English,2024-10
53,2024-11-04,Beetlejuice,1988.0,https://boxd.it/7ILoXx,4.0,"scropps, emma",2024-11-02,92,"[169, 155, 164, 49, 62, 99, 13, 21, 33]","['Fantasy', 'Comedy']",English,2024-11
54,2024-11-17,Anora,2024.0,https://boxd.it/7PmthT,4.5,"paris, claire, scropps, in theaters",2024-11-16,139,"[229, 199, 196, 178, 97, 97, 86, 39, 57]","['Drama', 'Comedy', 'Romance']",English,2024-11
55,2024-11-26,Last Night in Soho,2021.0,https://boxd.it/7U7U8p,3.0,"scropps, tay",2024-11-25,116,"[122, 136, 185, 60, 47, 98, 21, 20, 45]","['Horror', 'Mystery']",English,2024-11
56,2024-11-29,Woman of the Hour,2023.0,https://boxd.it/7VxUt9,2.5,"seb, alone</3",2024-11-29,95,"[203, 140, 96, 57, 36, 31, 12, 10, 10]","['Crime', 'Drama', 'Thriller']",English,2024-11
57,2024-12-13,The Substance,2024.0,https://boxd.it/82tX9L,3.5,"seb, alone</3",2024-12-12,141,"[239, 238, 243, 213, 212, 218, 164, 156, 160]","['Drama', 'Horror', 'Science Fiction']",English,2024-12
58,2024-12-16,Blow-Up,1966.0,https://boxd.it/849nOV,3.0,"seb, alone</3",2024-12-15,111,"[243, 240, 221, 241, 242, 221, 230, 86, 85]","['Drama', 'Mystery', 'Thriller']",English,2024-12
59,2024-12-16,Red Rooms,2023.0,https://boxd.it/84eL43,4.5,"seb, alone</3",2024-12-15,118,"[162, 83, 50, 75, 38, 30, 33, 20, 18]","['Thriller', 'Crime']",French,2024-12
60,2024-12-17,Priscilla,2023.0,https://boxd.it/84LcKT,3.0,"seb, alone</3",2024-12-16,113,"[189, 191, 184, 94, 78, 65, 43, 38, 31]","['Drama', 'Romance', 'Music']",English,2024-12
61,2024-12-18,Over the Garden Wall,2014.0,https://boxd.it/85f45N,5.0,"seb, rachel",2024-12-17,150,"[232, 204, 148, 157, 131, 91, 30, 22, 17]",[],English,2024-12
62,2024-12-18,I Saw the TV Glow,2024.0,https://boxd.it/85iw4p,5.0,"seb, alone</3",2024-12-18,100,"[109, 51, 98, 16, 2, 8, 6, 0, 3]","['Drama', 'Horror', 'Fantasy']",English,2024-12
63,2024-12-19,We're All Going to the World's Fair,2021.0,https://boxd.it/85JHc9,4.5,"seb, alone</3",2024-12-18,86,"[98, 98, 152, 33, 48, 77, 17, 20, 34]","['Drama', 'Horror']",English,2024-12
64,2024-12-19,Antiporno,2016.0,https://boxd.it/85MOzF,,"seb, alone</3",2024-12-18,76,"[250, 233, 221, 246, 202, 171, 181, 33, 34]","['Drama', 'Mystery']",Japanese,2024-12
65,2024-12-25,Titane,2021.0,https://boxd.it/89Emop,4.5,"seb, alone</3",2024-12-24,108,"[185, 111, 76, 75, 52, 107, 173, 23, 93]","['Drama', 'Thriller', 'Horror']",French,2024-12
66,2024-12-25,All of Us Strangers,2023.0,https://boxd.it/89IsDj,3.0,"seb, parents",2024-12-24,105,"[85, 94, 118, 7, 32, 57, 3, 18, 35]","['Romance', 'Drama', 'Fantasy']",English,2024-12
67,2024-12-26,Poor Things,2023.0,https://boxd.it/8aEGFJ,2.5,"seb, alone</3",2024-12-25,141,"[220, 220, 218, 166, 184, 198, 105, 102, 103]","['Science Fiction', 'Romance', 'Comedy']",English,2024-12
68,2024-12-28,The Worst Person in the World,2021.0,https://boxd.it/8bW9Ur,3.0,"seb, alone</3",2024-12-27,128,"[171, 161, 159, 105, 98, 77, 51, 45, 39]","['Drama', 'Romance', 'Comedy']",Norwegian,2024-12
69,2024-12-28,Dinner in America,2020.0,https://boxd.it/8cbRez,3.5,"seb, alone</3",2024-12-27,106,"[223, 229, 216, 220, 226, 213, 132, 132, 126]","['Romance', 'Comedy', 'Music']",English,2024-12
70,2024-12-28,Monster,2023.0,https://boxd.it/8ci5DP,4.5,"seb, parents",2024-12-27,84,"[137, 113, 67, 53, 49, 46, 43, 22, 21]","['Thriller', 'Horror']",No Language,2024-12
71,2024-12-28,Paris Is Burning,1990.0,https://boxd.it/8cn3H1,5.0,"seb, alone</3",2024-12-27,78,"[228, 224, 217, 179, 178, 173, 93, 85, 81]",['Documentary'],English,2024-12
72,2024-12-29,Twilight,2008.0,https://boxd.it/8de5w1,5.0,james,2024-12-28,122,"[103, 82, 73, 15, 5, 5, 1, 0, 0]","['Fantasy', 'Drama', 'Romance']",English,2024-12
73,2024-12-30,Climax,2018.0,https://boxd.it/8eiZvl,4.0,"seb, alone</3",2024-12-29,97,"[156, 79, 53, 89, 26, 23, 21, 11, 10]","['Horror', 'Drama']",French,2024-12
74,2025-01-01,The Twilight Saga: New Moon,2009.0,https://boxd.it/8g0gIr,2.5,"seb, james",2024-12-31,131,"[111, 85, 57, 53, 36, 19, 23, 12, 5]","['Adventure', 'Fantasy', 'Drama', 'Romance']",English,2024-12
75,2025-01-02,Cuckoo,2024.0,https://boxd.it/8h3leh,3.5,"seb, alone</3",2025-01-01,103,"[188, 176, 110, 107, 81, 49, 42, 26, 16]","['Horror', 'Mystery', 'Thriller']",English,2025-01
76,2025-01-03,Oldboy,2003.0,https://boxd.it/8hSkNx,4.0,"seb, alone</3",2025-01-02,120,"[119, 118, 128, 54, 36, 47, 25, 9, 22]","['Drama', 'Thriller', 'Mystery', 'Action']",Korean,2025-01
77,2025-01-04,The Zone of Interest,2023.0,https://boxd.it/8j9XLN,,"seb, parents",2025-01-03,105,"[69, 95, 71, 1, 1, 1, 0, 0, 0]","['Drama', 'History', 'War']",English,2025-01
78,2025-01-04,They Cloned Tyrone,2023.0,https://boxd.it/8jcVwn,,"seb, alone</3",2025-01-04,122,"[229, 163, 9, 181, 109, 26, 54, 24, 7]","['Comedy', 'Science Fiction', 'Mystery']",English,2025-01
79,2025-01-05,The Bling Ring,2013.0,https://boxd.it/8kbUUZ,2.5,"seb, alone</3",2025-01-04,90,"[252, 252, 37, 254, 254, 1, 129, 123, 64]","['Drama', 'Crime']",English,2025-01
80,2025-01-06,Gummo,1997.0,https://boxd.it/8lmPQf,4.5,"seb, alone</3",2025-01-05,89,"[203, 216, 99, 163, 188, 29, 124, 109, 43]","['Drama', 'Comedy']",English,2025-01
81,2025-01-09,Raw,2016.0,https://boxd.it/8o62Wj,4.0,"seb, alone</3",2025-01-09,99,"[246, 197, 160, 236, 128, 117, 175, 53, 72]","['Horror', 'Drama']",French,2025-01
82,2025-01-10,The Watermelon Woman,1996.0,https://boxd.it/8pa3pR,,"seb, alone</3",2025-01-10,85,"[171, 90, 136, 233, 26, 117, 77, 14, 65]","['Drama', 'Comedy', 'Romance']",English,2025-01
83,2025-01-10,The Twilight Saga: Eclipse,2010.0,https://boxd.it/8pabP9,2.0,"seb, james",2025-01-10,124,"[110, 111, 112, 23, 43, 53, 10, 19, 26]","['Adventure', 'Fantasy', 'Drama', 'Romance']",English,2025-01
84,2025-01-12,Antichrist,2009.0,https://boxd.it/8rp2it,,"seb, alone</3",2025-01-11,104,"[72, 33, 39, 24, 0, 6, 0, 0, 0]","['Drama', 'Horror', 'Thriller']",English,2025-01
85,2025-01-13,Infinity Pool,2023.0,https://boxd.it/8rUpWN,3.0,"seb, alone</3",2025-01-12,118,"[92, 33, 31, 13, 0, 1, 0, 0, 0]","['Horror', 'Science Fiction']",English,2025-01
