,Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,Genre,Language,Runtime,Color Palette,GenreNames,LanguageName,Palette Cluster,PCA1,PCA2
2,2023-07-25,Spider-Man: Across the Spider-Verse,2023.0,https://boxd.it/4zYcj7,5.0,,"in theaters, ella, richland",2023-07-24,"[16, 28, 12, 878]",en,140,"[233, 169, 113, 156, 71, 87, 58, 14, 36]","['Animation', 'Action', 'Adventure', 'Science Fiction']",English,6,20.025332831610626,63.138958509390996
3,2023-07-25,Tusk,2014.0,https://boxd.it/4zYweV,2.5,,nyc,2023-07-24,"[35, 27]",en,102,"[200, 92, 87, 152, 35, 31, 49, 18, 15]","['Comedy', 'Horror']",English,1,-73.66844827459391,89.18704618133773
4,2023-07-25,Nope,2022.0,https://boxd.it/4zYV47,4.5,,,2023-07-24,"[27, 878]",en,130,"[33, 68, 122, 9, 30, 61, 4, 11, 19]","['Horror', 'Science Fiction']",English,4,-170.8146041755949,-95.39599866936896
5,2023-07-29,X,2022.0,https://boxd.it/4BqNTL,4.5,,"nyc, alone</3",2023-07-27,"[27, 53]",en,106,"[158, 100, 79, 92, 43, 31, 30, 16, 13]","['Horror', 'Thriller']",English,4,-109.13207196263852,36.51537543678591
6,2023-08-04,Talk to Me,2022.0,https://boxd.it/4DG6NF,2.5,,"in theaters, nyc",2023-08-03,[27],en,95,"[28, 35, 37, 8, 13, 16, 7, 12, 15]",['Horror'],English,4,-240.62845510184604,-35.332434154868494
7,2023-08-04,Paddington,2014.0,https://boxd.it/4DGf6F,3.5,,"scropps, golda",2023-08-03,"[35, 12, 10751]",en,95,"[155, 174, 189, 86, 115, 171, 51, 46, 66]","['Comedy', 'Adventure', 'Family']",English,0,67.84292454435001,-82.26061688043073
8,2023-08-04,Shrek,2001.0,https://boxd.it/4DGiF9,2.0,,seb,2023-08-03,"[16, 35, 14, 12, 10751]",en,90,"[203, 219, 119, 96, 183, 76, 59, 100, 45]","['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",English,6,76.10534558864668,13.432343317872352
9,2023-08-06,The Super Mario Bros. Movie,2023.0,https://boxd.it/4EsnvJ,2.5,,"airplane, alone</3",2023-08-05,"[10751, 35, 12, 16, 14]",en,93,"[168, 170, 147, 126, 82, 92, 84, 25, 68]","['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']",English,6,24.735652900503567,7.952026734533792
10,2023-08-07,Barbie,2023.0,https://boxd.it/4EQxJp,2.5,,"in theaters, nyc",2023-08-06,"[35, 12]",en,114,"[240, 229, 232, 84, 210, 253, 177, 146, 196]","['Comedy', 'Adventure']",English,2,282.85346085373857,-90.98366861609503
11,2023-08-11,Bodies Bodies Bodies,2022.0,https://boxd.it/4FZnzh,4.0,,"seb, alone</3",2023-08-10,"[27, 35, 9648]",en,94,"[97, 103, 111, 21, 20, 26, 4, 3, 4]","['Horror', 'Comedy', 'Mystery']",English,4,-163.94179011694473,-47.26669041024297
