Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-07-03,Spare Parts,2020,https://boxd.it/6NgCeB,1,,"roomies, scropps",2021-02-25
2024-06-24,Princess Mononoke,1997,https://boxd.it/6JKGA1,5,,,2021-06-09
2023-07-25,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4zYcj7,5,,"in theaters, ella, richland",2023-07-24
2023-07-25,Tusk,2014,https://boxd.it/4zYweV,2.5,,nyc,2023-07-24
2023-07-25,Nope,2022,https://boxd.it/4zYV47,4.5,,,2023-07-24
2023-07-29,X,2022,https://boxd.it/4BqNTL,4.5,,"nyc, alone</3",2023-07-27
2023-08-04,Talk to Me,2022,https://boxd.it/4DG6NF,2.5,,"in theaters, nyc",2023-08-03
2023-08-04,Paddington,2014,https://boxd.it/4DGf6F,3.5,,"scropps, golda",2023-08-03
2023-08-04,Shrek,2001,https://boxd.it/4DGiF9,2,,seb,2023-08-03
2023-08-06,The Super Mario Bros. Movie,2023,https://boxd.it/4EsnvJ,2.5,,"airplane, alone</3",2023-08-05
2023-08-07,Barbie,2023,https://boxd.it/4EQxJp,2.5,,"in theaters, nyc",2023-08-06
2023-08-11,Bodies Bodies Bodies,2022,https://boxd.it/4FZnzh,4,,"seb, alone</3",2023-08-10
2023-08-18,Mad Max: Fury Road,2015,https://boxd.it/4Ip7bX,4,,"seb, james, james's entire family",2023-08-17
2023-09-09,Bottoms,2023,https://boxd.it/4OT3FD,4.5,,"in theaters, scropps, ella",2023-09-08
2023-12-21,The Babadook,2014,https://boxd.it/5mz5in,4,,ucla,2023-12-20
2023-12-26,Ex Machina,2015,https://boxd.it/5p0I4L,2,,"seb, parents",2023-12-25
2023-12-27,Wonka,2023,https://boxd.it/5pDMib,0.5,,,2023-12-26
2023-12-28,Saltburn,2023,https://boxd.it/5qbQtb,4,,"seb, bee",2023-12-27
2024-01-07,Past Lives,2023,https://boxd.it/5wySxJ,,,,2024-01-06
2024-04-03,Love Songs,2007,https://boxd.it/6cvap9,2,,"scropps, elle",2024-04-02
2024-04-14,The Rocky Horror Picture Show,1975,https://boxd.it/6h5ZHB,4,,,2024-04-14
2024-05-23,Challengers,2024,https://boxd.it/6wNqDd,3,,"in theaters, seb, rachel",2024-05-22
2024-05-27,Furiosa: A Mad Max Saga,2024,https://boxd.it/6ydpAD,4,,"in theaters, james, seb, james's entire family",2024-05-26
2024-06-09,The Cat Returns,2002,https://boxd.it/6DNCal,5,,"roomies, chi",2024-06-08
2024-06-19,Inside Out 2,2024,https://boxd.it/6HH8LP,2,,"roomies, chi, in theaters",2024-06-18
2024-07-02,A Quiet Place,2018,https://boxd.it/6MWlZb,2.5,,"roomies, chi",2024-07-01
2024-07-07,MaXXXine,2024,https://boxd.it/6P4wmN,4.5,,"roomies, chi, in theaters",2024-07-07
2024-07-13,The Strangers,2008,https://boxd.it/6RIfCn,2,,"roomies, chi",2024-07-12
2024-07-14,Shiva Baby,2020,https://boxd.it/6ScE83,4,,"roomies, chi",2024-07-13
2024-07-17,Longlegs,2024,https://boxd.it/6TAQ45,3,,"in theaters, roomies, chi",2024-07-16
2024-07-20,Spring Breakers,2012,https://boxd.it/6URS9T,3.5,,"chi, roomies",2024-07-19
2024-07-24,Twisters,2024,https://boxd.it/6WMXrL,3,,"in theaters, roomies, chi",2024-07-23
2024-07-25,Love Lies Bleeding,2024,https://boxd.it/6XdLef,4,,"roomies, chi",2024-07-24
2024-07-28,Bottoms,2023,https://boxd.it/6YCKal,4.5,Yes,"roomies, chi",2024-07-27
2024-07-30,Five Nights at Freddy's,2023,https://boxd.it/6ZwD5F,2,,"roomies, chi",2024-07-29
2024-08-04,Your Name.,2016,https://boxd.it/71p9Ll,3,,chi,2024-08-03
2024-08-05,Kneecap,2024,https://boxd.it/723pPN,4.5,,"seb, in theaters, parents",2024-08-04
2024-08-10,Smiling Friends,2020,https://boxd.it/73XG9P,5,,"chi, roomies",2024-08-09
2024-08-16,The Battle Wizard,1977,https://boxd.it/76U8ch,4,,"seb, james",2024-08-15
2024-08-18,Alien: Romulus,2024,https://boxd.it/77QAGb,3,,"seb, in theaters, james, james's entire family",2024-08-17
2024-09-03,In the Mood for Love,2000,https://boxd.it/7ff8An,4,,"daisy, scropps",2024-09-02
2024-09-03,Blink Twice,2024,https://boxd.it/7ftGAT,2,,"in theaters, scropps",2024-09-02
2024-09-06,Parasite,2019,https://boxd.it/7gGmgf,5,,"daisy, scropps",2024-09-05
2024-09-07,Beetlejuice Beetlejuice,2024,https://boxd.it/7h3OXR,2.5,,"aimee, scropps, in theaters",2024-09-06
2024-09-14,The Handmaiden,2016,https://boxd.it/7k9hDX,5,,"scropps, daisy",2024-09-13
2024-09-16,Pearl,2022,https://boxd.it/7li0DN,4,Yes,scropps,2024-09-16
2024-10-02,Beetlejuice,1988,https://boxd.it/7sdFxJ,4,,"scropps, alone</3",2024-10-01
2024-10-03,Over the Garden Wall,2014,https://boxd.it/7sEAqH,5,,"elle, scropps",2024-10-02
2024-10-10,X,2022,https://boxd.it/7vSOWR,4.5,Yes,"scropps, emma",2024-10-08
2024-10-13,Let It Shine,2012,https://boxd.it/7xwjil,4,,"scropps, emma",2024-10-12
2024-10-20,The Wild Robot,2024,https://boxd.it/7B5dCh,3,,"scropps, in theaters, emma",2024-10-19
2024-10-25,Fear Street: 1994,2021,https://boxd.it/7DDyBP,4,,"scropps, daisy",2024-10-24
2024-10-29,Showgirls,1995,https://boxd.it/7FT5S3,4,,"aimee, paris, scropps, claire",2024-10-29
2024-11-04,Beetlejuice,1988,https://boxd.it/7ILoXx,4,Yes,"scropps, emma",2024-11-02
2024-11-17,Anora,2024,https://boxd.it/7PmthT,4.5,,"paris, claire, scropps, in theaters",2024-11-16
